Program Specialties	Associates	Bachelors	Masters	PhD	Certificate Program	Distance / Online	Agricultural Geography	Applied Geography	Biogeography	Cartography	Climatology / Meteorology	"Conservation, Land Use"	Cultural Ecology	Cultural Geography	Economic Development	Economic Geography	Energy	Environmental Studies	Gender	Geographic Education	Geographic Thought	Geomorphology	GIS	GIS Certification Program	Hazards	Historical Geography	Location Theory	Medical Geography	Physical Geography (General)	"Planning (Regional, Urban)"	Political Ecology	Political Geography	Population Geography	Quantitative Methods	Regional Development	Recreation and Tourism	Remote Sensing	Rural Geography	Social Geography	Transportation and Communication	Urban Geography	Water Resources	North America	Middle America	South America	Europe	Africa	Asia	Australia Oceania	Polar World	Middle East	Former Soviet Union	World Regional
Georgia State University		X	X	X	X			X	X		X												X								X						X				X	X	X			X	X	X					
Kennesaw State University		X			X	X		X	X	X	X			X		X		X			X	X	X	X		X			X			X	X	X			X		X		X	X	X	X	X	X	X	X			X		X
HAWAII																																																					
"University of Hawaii, Manoa"		X	X	X	X		X	X	X	X		X	X	X				X					X	X					X		X	X		X		X	X		X			X	X					X		X	X		X
IDAHO																																																					
Univeristy of Idaho		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X		X			X	X	X	X	X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
ILLINOIS																																																					
Augustana College		X								X		X						X					X			X			X	X											X	X			X					X			
Chicago State University			X		X		X	X				X			X	X		X					X	X		X		X							X		X				X		X				X						
DePaul University		X			X									X		X			X		X		X	X							X	X					X		X		X		X			X		X					
Eastern Illinois University		X	X		X		X	X	X	X	X	X		X		X	X	X			X	X	X	X	X	X			X	X			X	X		X	X				X		X	X	X	X							X
Illinois State University		X	X		X			X	X	X				X		X		X		X		X	X	X					X	X	X	X		X			X				X	X	X	X							X		X
Northeastern Illinois University		X	X		X							X		X				X					X	X						X									X		X		X	X		X		X				X	X
Northern Illinois University		X	X	X	X						X							X	X				X	X	X		X	X	X				X				X			X	X	X	X				X	X					X
"Southern Illinois University, Carbondale"		X	X	X	X						X							X					X	X																		X											
"Southern Illinois University, Edwardsville"		X	X					X		X	X	X		X	X					X		X	X		X			X	X			X	X	X			X				X	X	X			X	X	X					
University of Illinois		X	X	X					X	X		X				X			X	X	X	X	X				X	X	X			X		X			X		X	X	X	X	X					X					X
Western Illinois University		X	X			X		X		X	X	X		X	X	X							X	X						X			X	X	X		X			X	X	X	X				X	X					X
INDIANA																																																					
Ball State University		X	X							X	X			X		X							X	X	X					X		X	X	X		X	X						X			X		X				X	X
Indiana University		X	X	X	X		X				X	X	X	X	X			X					X	X							X	X	X	X	X	X	X	X			X	X	X	X	X								X
Indiana University - Purdue University Indianapolis		X	X		X			X																X				X									X																
Valparaiso University		X						X	X	X	X	X		X		X		X				X	X		X	X			X	X			X				X	X	X	X	X		X					X					X
IOWA																																																					
University of Iowa		X	X	X				X	X		X	X					X	X					X	X	X			X	X	X				X			X					X											
University of Northern Iowa		X	X					X		X		X		X	X	X	X	X		X		X	X	X	X				X	X			X	X	X		X	X			X	X	X	X	X		X			X			
KANSAS																																																					
Fort Hays State University		X	X		X	X		X		X	X			X				X		X			X	X	X	X			X	X							X				X	X	X										X
Kansas State University		X	X	X	X			X	X		X		X	X				X				X	X	X	X			X	X					X			X	X				X	X	X	X	X		X					X
University of Kansas		X	X	X					X	X	X	X	X	X		X	X	X			X	X	X	X		X	X		X		X	X		X	X		X				X	X	X	X	X		X	X	X		X	X	X
KENTUCKY																																																					
University of Kentucky		X	X	X		X	X		X	X	X			X	X	X		X	X		X	X	X	X		X		X	X	X		X	X	X			X		X		X		X		X	X	X	X			X		X
University of Louisville		X	X					X			X				X								X						X					X			X																
LOUISIANA																																																					
Louisiana State University		X	X	X				X		X	X		X	X	X	X		X			X	X	X	X	X	X	X	X	X	X	X	X	X	X	X		X		X	X	X	X	X	X	X			X					
MAINE																																																					
University of Southern Maine		X										X				X							X	X						X							X		X		X												
MARYLAND																																																					
Frostburg State University		X							X	X	X			X		X		X				X	X											X			X	X		X	X		X			X	X						
Salisbury University		X	X			X		X	X	X	X	X			X	X		X		X		X	X		X				X	X		X		X	X		X				X	X	X		X		X				X		
Towson University		X	X					X			X			X	X			X	X			X	X		X			X	X	X		X	X	X		X	X				X												
"University of Maryland, Baltimore County"		X	X	X	X		X		X	X	X	X	X	X		X		X			X	X	X	X	X				X	X	X	X	X				X		X		X	X	X	X	X	X	X	X					
"University of Maryland, College Park"		X	X	X	X							X		X	X	X		X					X	X	X				X	X		X					X																X
MASSACHUSETTS																																																					
Clark University		X	X	X			X	X	X		X	X	X	X	X	X		X	X		X		X		X				X		X	X		X	X		X	X	X	X	X	X	X	X	X		X	X		X			
Mount Holyoke College		X					X	X		X	X			X		X		X				X	X			X			X	X		X	X		X		X	X	X	X	X												X
Salem State University		X	X		X				X	X	X	X		X	X	X	X	X					X	X					X	X				X	X	X	X			X	X		X			X		X					X
"University of Massachusetts, Amherst"		X	X	X						X	X			X		X		X					X						X	X						X	X				X		X										X
Westfield State University		X			X			X		X	X	X		X			X	X		X			X	X					X	X	X			X		X	X			X	X			X			X						
Worcester State University		X							X		X						X	X					X						X								X				X	X					X						
MICHIGAN																																																					
Calvin University		X				X				X	X	X			X		X	X		X	X	X	X							X							X				X	X	X				X						
Central Michigan University		X	X		X	X		X	X	X	X	X		X	X	X	X	X	X	X	X	X	X			X	X		X	X		X	X	X	X		X			X	X	X	X	X	X	X		X					X
Eastern Michigan University		X	X		X	X		X		X	X			X		X		X		X	X	X	X	X		X				X						X	X						X	X	X			X			X	X	X
Grand Valley State University		X			X		X	X		X		X	X	X		X		X					X	X					X	X					X		X			X	X		X	X	X	X	X	X			X	X	
Michigan State University		X	X	X							X			X		X						X	X					X									X				X		X				X	X			X		
Northern Michigan University		X			X			X	X	X	X	X		X			X	X				X	X	X					X				X	X		X	X	X			X	X	X	X	X	X						X	X
Saginaw Valley State University		X			X		X	X	X		X	X		X	X			X		X	X	X	X	X	X	X	X		X	X			X	X	X		X				X	X	X	X	X	X	X						X
