Program Specialties	Associates	Bachelors	Masters	PhD	Certificate Program	Distance / Online	Agricultural Geography	Applied Geography	Biogeography	Cartography	Climatology / Meteorology	"Conservation, Land Use"	Cultural Ecology	Cultural Geography	Economic Development	Economic Geography	Energy	Environmental Studies	Gender	Geographic Education	Geographic Thought	Geomorphology	GIS	GIS Certification Program	Hazards	Historical Geography	Location Theory	Medical Geography	Physical Geography (General)	"Planning (Regional, Urban)"	Political Ecology	Political Geography	Population Geography	Quantitative Methods	Regional Development	Recreation and Tourism	Remote Sensing	Rural Geography	Social Geography	Transportation and Communication	Urban Geography	Water Resources	North America	Middle America	South America	Europe	Africa	Asia	Australia Oceania	Polar World	Middle East	Former Soviet Union	World Regional
York University		X	X	X	X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
QUEBEC																																																					
Concordia University		X	X	X				X	X	X	X	X	X	X	X		X	X	X		X	X	X	X					X	X	X	X		X	X		X		X	X	X	X											
McGill University		X	X	X								X	X	X	X	X		X	X				X					X	X	X	X			X	X		X			X	X	X	X	X	X	X	X		X	X	X	X	
Université de Montréal		X	X	X			X		X	X	X			X		X		X	X			X	X						X		X	X					X		X	X	X	X	X	X	X	X	X	X		X			
Université de Sherbrooke		X	X	X				X										X					X														X																X
ARGENTINA																																																					
Universidad de Buenos Aires 		X	X	X			X		X	X	X	X		X	X	X	X	X	X	X		X	X		X	X			X	X		X	X	X	X	X		X	X	X	X	X											
Universidad Nacional de General Sarmiento	X					X				X											X		X				X		X	X				X	X		X				X												
Universidad Nacional de Mar de Plata	X	X																																																			
Universidad Nacional de Tres de Febrero		X		X				X												X	X		X	X								X		X					X		X	X											
Universidad Nacional de Tucuman			X	X																																																	
Universidad Nacional del Sur		X					X	X	X	X	X	X		X	X	X		X		X	X	X	X		X	X			X	X		X	X	X	X	X	X	X	X		X	X	X	X	X	X	X	X	X		X		
																																																					
BOLIVIA																																																					
Universidad Mayor de San Andres	X						X	X	X	X	X	X				X		X		X	X	X	X	X	X				X	X			X	X	X		X	X			X				X								
BRAZIL																																																					
Associação de Geógrafos Brasileiros							X	X	X	X	X	X	X	X	X	X		X	X	X	X	X	X			X	X	X	X	X			X		X		X	X	X		X	X			X								X
Associação Profissional de Geógrafos de Santa Catarina					X	X	X	X	X	X	X	X	X	X	X	X		X	X	X	X	X	X	X	X	X	X	X	X	X			X	X	X	X	X	X	X	X	X												
Universidade de Brasília		X	X	X	X	X		X	X	X	X	X		X	X	X		X		X	X	X	X	X	X				X	X					X	X	X	X			X	X			X								X
Universidade de Caxias do Sul		X			X	X				X		X											X	X									X		X		X	X	X			X											
Universidade de São Paulo		X						X	X	X	X	X		X		X		X		X	X	X				X	X		X	X		X	X				X		X		X	X			X	X	X				X		
Universidade  do Estado do Rio de Janeiro		X	X		X				X	X	X	X		X						X	X	X	X	X	X	X			X				X		X	X	X	X	X	X	X	X			X								X
Universidade Estadual de Londrina	X	X	X		X				X	X	X	X		X	X	X				X	X	X	X					X	X				X		X	X	X	X	X		X	X			X								
Universidade  Estadual Paulista Júlio de Mesquita Filho		X	X	X	X		X	X	X	X						X		X		X	X	X	X	X	X		X		X	X			X	X	X	X		X			X	X											
Universidade Federal do Ceará		X	X	X	X			X	X	X	X	X		X		X		X		X	X	X	X		X		X		X	X			X		X		X	X	X		X	X			X								X
Universidade Federal da Grande Dourados		X			X		X		X	X	X	X		X		X		X		X	X	X	X		X		X		X	X			X		X		X	X	X		X	X			X								X
Universidade Federal do Maranhão		X			X			X		X		X			X			X		X		X	X						X	X			X	X	X	X	X	X			X	X			X								X
Universidade Federal de Mato Grosso do Sul		X						X															X																														
Universidade Federal de Minas Gerais		X	X	X	X	X			X	X								X		X	X	X							X	X							X		X		X	X											
Universidade Federal do Piauí - UFPI			X		X															X	X																				X												
Universidade Federal do Rio de Janeiro		X	X	X	X		X		X	X			X	X	X	X		X		X	X	X			X	X			X	X			X		X		X	X	X	X	X	X			X								
Universidade Federal de Santa Catarina		X	X	X	X			X	X	X	X	X		X	X	X		X		X	X	X	X		X				X	X			X		X		X	X			X	X											X
Universidade Federal de Santa Maria		X	X	X				X	X	X	X	X		X		X		X	X	X	X	X	X						X	X		X	X		X		X				X	X											X
Universidade Federal de Uberlândia		X			X				X	X	X	X			X	X		X		X	X	X	X	X	X		X	X	X	X			X	X	X	X	X	X		X	X	X											X
Universidade Luterana do Brasil					X		X		X	X	X			X		X		X		X	X	X	X						X	X								X	X		X	X			X								X
Universidad Regional Do Cariri 							X		X	X	X	X		X				X		X									X	X			X		X						X	X											
Universidade Regional do Noroeste do Estado do Rio Grande do Sul					X	X	X		X	X	X	X		X	X	X		X		X	X	X	X		X		X		X	X			X	X	X		X	X	X		X	X											X
CHILE																																																					
Pontificia Universidad Catolica de Chile		X																																																			
Universidad Academica de Humanismo Cristiano	X	X	X		X		X		X	X	X	X		X		X		X	X	X	X	X	X	X	X				X	X			X	X	X	X	X	X	X		X	X											X
Universidad Católica Silva Henríquez		X									X		X	X		X		X		X	X					X			X			X	X					X			X												X
Universidad de Chile		X					X		X		X			X		X		X				X	X		X				X	X					X	X	X	X	X		X	X											
Universidad de la Serena			X																																																		
COLOMBIA																																																					
"Asociación Colombiana de Geógrafos, ACOGE"							X	X	X	X	X			X		X		X	X	X	X	X	X		X	X			X	X			X	X	X	X		X	X			X											
Grupo de Investigación Interinstitucional Geopaideia																				X																																	
Razón Cartográfica										X										X	X		X			X																			X								
"Universidad de los Andes, Bogota"			X							X				X	X			X			X		X			X							X						X														
Universidad del Valle	X	X					X	X	X	X	X	X	X	X	X	X	X	X		X	X	X	X		X	X	X		X	X			X	X	X	X	X	X	X	X	X	X											X
Universidad Externado de Colombia	X																																																				
"University of Cordoba, Colombia"		X	X				X																																														
Universidad Nacional de Colombia		X	X	X					X	X	X							X				X	X		X	X		X	X	X			X		X	X	X	X		X	X												
Universidad Pedagogica y Tecnologica de Colombia 		X					X	X												X													X		X				X		X												
COSTA RICA																																																					
Universidad de Costa Rica	X	X	X					X	X	X	X	X		X		X		X				X	X							X								X	X		X	X		X									
Universidad Nacional de Costa Rica	X	X	X					X	X	X								X					X		X	X			X	X																							
CUBA																																																					
Universidad de la Habana		X																																																			
ECUADOR																																																					
"Centro Panamericano de Estudios, Cepeige"					X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X		X				X	X			X	X	X	X	X	X	X	X	X	X	X	X	X								X
Pontificia Universidad Catolica de Ecuador		X	X						X	X	X	X		X		X		X			X	X	X		X				X	X			X		X			X			X	X											
JAMAICA																																																					
"University of the West Indies, Mona"		X	X	X																																																	
MEXICO																																																					
Centro de Investigaciones en Geografia Ambiental UNAM							X		X	X	X	X	X	X				X			X	X	X		X	X				X			X		X																		
El Colegio de Michoacan			X				X	X		X		X	X	X	X			X	X		X		X		X	X		X		X		X	X	X	X	X		X	X		X	X		X									
Instituto Panamericano de Geografía e Historia 								X	X	X	X	X		X				X					X	X	X				X								X																
Instituto Politécnico Nacional			X	X																			X																														
Pan American Institute of Geography and History 								X		X		X		X				X		X	X		X		X	X			X								X						X	X	X								
Universidad Autónoma de Ciudad Juarez		X	X	X				X				X											X							X				X	X		X				X	X											
Universidad Autónoma de San Luis Potosí		X										X				X		X				X	X			X				X						X	X																
Universidad Autónoma del Estado de México		X	X		X		X	X	X	X	X	X		X		X		X			X	X	X	X		X			X	X			X	X	X	X	X	X	X	X	X	X		X	X								
"Universidad Autónoma Metropolitana, Iztapalapa "		X												X		X		X			X												X						X		X												
Universidad de Guadalajara 	X	X	X							X													X		X					X							X																
Universidad Nacional Autónoma de México			X	X			X	X	XX	X	X	X		X		X		X			X	X	X	X		X			X	X			X	X	X	X	X	X	X	X	X	X		X	X								
NICARAGUA																																																					
Universidad Nacional Autónoma de Nicaragua		X			X					X	X					X		X			X	X	X	X					X	X			X			X	X	X			X	X											
PANAMA																																																					
Universidad Autónoma de Chiriquí		X	X																																																		
PARAGUAY																																																					
Universidad Nacional de Asunción		X																																																			
PERU																																																					
Pontificia Universidad Católica del Peru 	X	X																																																			
Universidad Nacional Mayor de San Marcos 			X																																																		
PUERTO RICO																																																					
University of Puerto Rico		X																																																			
TRINIDAD AND TOBAGO																																																					
"University of the West Indies, St. Augustine"		X	X		X																																																
URUGUAY																																																					
Asociación  Nacional de Profesores de Geografía																		X		X	X																																
Centro Regional de Profesores del Norte	X																			X																																	
VENEZUELA																																																					
Universidad Central de Venezuela 		X					X		X	X	X	X		X		X	X	X			X	X	X		X			X	X	X			X	X	X		X	X			X												
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
